Localidad;Tarifa;fecha;Consumokws;anio;mes
Río Grande;COMERCIAL;01/01/1990;645648;1990;1
Río Grande;INDUSTRIAL;01/01/1990;1238815;1990;1
Río Grande;OFICIAL;01/01/1990;181531;1990;1
Río Grande;RESIDENCIAL;01/01/1990;1153314;1990;1
Río Grande;PROMOCIONAL;01/01/1990;6396;1990;1
Río Grande;ALUMB.PUBLICO;01/01/1990;-9;1990;1
Río Grande;LUZ DE OBRA;01/01/1990;22998;1990;1
Río Grande;JUB. Y PENS.;01/01/1990;24403;1990;1
Río Grande;BASE NAVAL;01/01/1990;-9;1990;1
Río Grande;GRANES DEMANDAS;01/01/1990;-9;1990;1
Río Grande;MEDIANAS DEMANDAS;01/01/1990;-9;1990;1
Río Grande;SERVICIO RESIDENCIAL;01/01/1990;-9;1990;1
Río Grande;USO GENERAL;01/01/1990;-9;1990;1
Ushuaia;COMERCIAL;01/01/1990;-9;1990;1
Ushuaia;INDUSTRIAL;01/01/1990;-9;1990;1
Ushuaia;OFICIAL;01/01/1990;-9;1990;1
Ushuaia;RESIDENCIAL;01/01/1990;-9;1990;1
Ushuaia;PROMOCIONAL;01/01/1990;-9;1990;1
Ushuaia;LUZ DE OBRA;01/01/1990;-9;1990;1
Ushuaia;BASE NAVAL;01/01/1990;-9;1990;1
Ushuaia;SERVICIOS SANITARIOS (3);01/01/1990;-9;1990;1
Ushuaia;ALUMB.PUBLICO;01/01/1990;-9;1990;1
Ushuaia;GRANES DEMANDAS;01/01/1990;-9;1990;1
Ushuaia;MEDIANAS DEMANDAS;01/01/1990;-9;1990;1
Ushuaia;USO RESIDENCIAL;01/01/1990;-9;1990;1
Ushuaia;USO GENERAL;01/01/1990;-9;1990;1
Ushuaia;ALUMB.PUBLICO;01/01/1990;-9;1990;1
Tolhuin;USO RESIDENCIAL;01/01/1990;-9;1990;1
Tolhuin;USO GENERAL;01/01/1990;-9;1990;1
Tolhuin;MEDIANAS DEMANDAS;01/01/1990;-9;1990;1
Tolhuin;GRANDES DEMANDAS;01/01/1990;-9;1990;1
Tolhuin;ALUMB.PUBLICO;01/01/1990;-9;1990;1
Río Grande;COMERCIAL;01/02/1990;565507;1990;2
Río Grande;INDUSTRIAL;01/02/1990;965229;1990;2
Río Grande;OFICIAL;01/02/1990;168399;1990;2
Río Grande;RESIDENCIAL;01/02/1990;855897;1990;2
Río Grande;PROMOCIONAL;01/02/1990;4686;1990;2
Río Grande;ALUMB.PUBLICO;01/02/1990;-9;1990;2
Río Grande;LUZ DE OBRA;01/02/1990;14160;1990;2
Río Grande;JUB. Y PENS.;01/02/1990;20355;1990;2
Río Grande;BASE NAVAL;01/02/1990;-9;1990;2
Río Grande;GRANES DEMANDAS;01/02/1990;-9;1990;2
Río Grande;MEDIANAS DEMANDAS;01/02/1990;-9;1990;2
Río Grande;SERVICIO RESIDENCIAL;01/02/1990;-9;1990;2
Río Grande;USO GENERAL;01/02/1990;-9;1990;2
Ushuaia;COMERCIAL;01/02/1990;-9;1990;2
Ushuaia;INDUSTRIAL;01/02/1990;-9;1990;2
Ushuaia;OFICIAL;01/02/1990;-9;1990;2
Ushuaia;RESIDENCIAL;01/02/1990;-9;1990;2
Ushuaia;PROMOCIONAL;01/02/1990;-9;1990;2
Ushuaia;LUZ DE OBRA;01/02/1990;-9;1990;2
Ushuaia;BASE NAVAL;01/02/1990;-9;1990;2
Ushuaia;SERVICIOS SANITARIOS (3);01/02/1990;-9;1990;2
Ushuaia;ALUMB.PUBLICO;01/02/1990;-9;1990;2
Ushuaia;GRANES DEMANDAS;01/02/1990;-9;1990;2
Ushuaia;MEDIANAS DEMANDAS;01/02/1990;-9;1990;2
Ushuaia;USO RESIDENCIAL;01/02/1990;-9;1990;2
Ushuaia;USO GENERAL;01/02/1990;-9;1990;2
Ushuaia;ALUMB.PUBLICO;01/02/1990;-9;1990;2
Tolhuin;USO RESIDENCIAL;01/02/1990;-9;1990;2
Tolhuin;USO GENERAL;01/02/1990;-9;1990;2
Tolhuin;MEDIANAS DEMANDAS;01/02/1990;-9;1990;2
Tolhuin;GRANDES DEMANDAS;01/02/1990;-9;1990;2
Tolhuin;ALUMB.PUBLICO;01/02/1990;-9;1990;2
Río Grande;COMERCIAL;01/03/1990;578016;1990;3
Río Grande;INDUSTRIAL;01/03/1990;1072114;1990;3
Río Grande;OFICIAL;01/03/1990;223276;1990;3
Río Grande;RESIDENCIAL;01/03/1990;1103314;1990;3
Río Grande;PROMOCIONAL;01/03/1990;5916;1990;3
Río Grande;ALUMB.PUBLICO;01/03/1990;-9;1990;3
Río Grande;LUZ DE OBRA;01/03/1990;23991;1990;3
Río Grande;JUB. Y PENS.;01/03/1990;23219;1990;3
Río Grande;BASE NAVAL;01/03/1990;-9;1990;3
Río Grande;GRANES DEMANDAS;01/03/1990;-9;1990;3
Río Grande;MEDIANAS DEMANDAS;01/03/1990;-9;1990;3
Río Grande;SERVICIO RESIDENCIAL;01/03/1990;-9;1990;3
Río Grande;USO GENERAL;01/03/1990;-9;1990;3
Ushuaia;COMERCIAL;01/03/1990;-9;1990;3
Ushuaia;INDUSTRIAL;01/03/1990;-9;1990;3
Ushuaia;OFICIAL;01/03/1990;-9;1990;3
Ushuaia;RESIDENCIAL;01/03/1990;-9;1990;3
Ushuaia;PROMOCIONAL;01/03/1990;-9;1990;3
Ushuaia;LUZ DE OBRA;01/03/1990;-9;1990;3
Ushuaia;BASE NAVAL;01/03/1990;-9;1990;3
Ushuaia;SERVICIOS SANITARIOS (3);01/03/1990;-9;1990;3
Ushuaia;ALUMB.PUBLICO;01/03/1990;-9;1990;3
Ushuaia;GRANES DEMANDAS;01/03/1990;-9;1990;3
Ushuaia;MEDIANAS DEMANDAS;01/03/1990;-9;1990;3
Ushuaia;USO RESIDENCIAL;01/03/1990;-9;1990;3
Ushuaia;USO GENERAL;01/03/1990;-9;1990;3
Ushuaia;ALUMB.PUBLICO;01/03/1990;-9;1990;3
Tolhuin;USO RESIDENCIAL;01/03/1990;-9;1990;3
Tolhuin;USO GENERAL;01/03/1990;-9;1990;3
Tolhuin;MEDIANAS DEMANDAS;01/03/1990;-9;1990;3
Tolhuin;GRANDES DEMANDAS;01/03/1990;-9;1990;3
Tolhuin;ALUMB.PUBLICO;01/03/1990;-9;1990;3
Río Grande;COMERCIAL;01/04/1990;643530;1990;4
Río Grande;INDUSTRIAL;01/04/1990;776550;1990;4
Río Grande;OFICIAL;01/04/1990;224172;1990;4
Río Grande;RESIDENCIAL;01/04/1990;1570354;1990;4
Río Grande;PROMOCIONAL;01/04/1990;13846;1990;4
Río Grande;ALUMB.PUBLICO;01/04/1990;-9;1990;4
Río Grande;LUZ DE OBRA;01/04/1990;23743;1990;4
Río Grande;JUB. Y PENS.;01/04/1990;38834;1990;4
Río Grande;BASE NAVAL;01/04/1990;-9;1990;4
Río Grande;GRANES DEMANDAS;01/04/1990;-9;1990;4
Río Grande;MEDIANAS DEMANDAS;01/04/1990;-9;1990;4
Río Grande;SERVICIO RESIDENCIAL;01/04/1990;-9;1990;4
Río Grande;USO GENERAL;01/04/1990;-9;1990;4
Ushuaia;COMERCIAL;01/04/1990;-9;1990;4
Ushuaia;INDUSTRIAL;01/04/1990;-9;1990;4
Ushuaia;OFICIAL;01/04/1990;-9;1990;4
Ushuaia;RESIDENCIAL;01/04/1990;-9;1990;4
Ushuaia;PROMOCIONAL;01/04/1990;-9;1990;4
Ushuaia;LUZ DE OBRA;01/04/1990;-9;1990;4
Ushuaia;BASE NAVAL;01/04/1990;-9;1990;4
Ushuaia;SERVICIOS SANITARIOS (3);01/04/1990;-9;1990;4
Ushuaia;ALUMB.PUBLICO;01/04/1990;-9;1990;4
Ushuaia;GRANES DEMANDAS;01/04/1990;-9;1990;4
Ushuaia;MEDIANAS DEMANDAS;01/04/1990;-9;1990;4
Ushuaia;USO RESIDENCIAL;01/04/1990;-9;1990;4
Ushuaia;USO GENERAL;01/04/1990;-9;1990;4
Ushuaia;ALUMB.PUBLICO;01/04/1990;-9;1990;4
Tolhuin;USO RESIDENCIAL;01/04/1990;-9;1990;4
Tolhuin;USO GENERAL;01/04/1990;-9;1990;4
Tolhuin;MEDIANAS DEMANDAS;01/04/1990;-9;1990;4
Tolhuin;GRANDES DEMANDAS;01/04/1990;-9;1990;4
Tolhuin;ALUMB.PUBLICO;01/04/1990;-9;1990;4
Río Grande;COMERCIAL;01/05/1990;695291;1990;5
Río Grande;INDUSTRIAL;01/05/1990;1045838;1990;5
Río Grande;OFICIAL;01/05/1990;252480;1990;5
Río Grande;RESIDENCIAL;01/05/1990;1311195;1990;5
Río Grande;PROMOCIONAL;01/05/1990;12096;1990;5
Río Grande;ALUMB.PUBLICO;01/05/1990;-9;1990;5
Río Grande;LUZ DE OBRA;01/05/1990;23829;1990;5
Río Grande;JUB. Y PENS.;01/05/1990;30156;1990;5
Río Grande;BASE NAVAL;01/05/1990;-9;1990;5
Río Grande;GRANES DEMANDAS;01/05/1990;-9;1990;5
Río Grande;MEDIANAS DEMANDAS;01/05/1990;-9;1990;5
Río Grande;SERVICIO RESIDENCIAL;01/05/1990;-9;1990;5
Río Grande;USO GENERAL;01/05/1990;-9;1990;5
Ushuaia;COMERCIAL;01/05/1990;-9;1990;5
Ushuaia;INDUSTRIAL;01/05/1990;-9;1990;5
Ushuaia;OFICIAL;01/05/1990;-9;1990;5
Ushuaia;RESIDENCIAL;01/05/1990;-9;1990;5
Ushuaia;PROMOCIONAL;01/05/1990;-9;1990;5
Ushuaia;LUZ DE OBRA;01/05/1990;-9;1990;5
Ushuaia;BASE NAVAL;01/05/1990;-9;1990;5
Ushuaia;SERVICIOS SANITARIOS (3);01/05/1990;-9;1990;5
Ushuaia;ALUMB.PUBLICO;01/05/1990;-9;1990;5
Ushuaia;GRANES DEMANDAS;01/05/1990;-9;1990;5
Ushuaia;MEDIANAS DEMANDAS;01/05/1990;-9;1990;5
Ushuaia;USO RESIDENCIAL;01/05/1990;-9;1990;5
Ushuaia;USO GENERAL;01/05/1990;-9;1990;5
Ushuaia;ALUMB.PUBLICO;01/05/1990;-9;1990;5
Tolhuin;USO RESIDENCIAL;01/05/1990;-9;1990;5
Tolhuin;USO GENERAL;01/05/1990;-9;1990;5
Tolhuin;MEDIANAS DEMANDAS;01/05/1990;-9;1990;5
Tolhuin;GRANDES DEMANDAS;01/05/1990;-9;1990;5
Tolhuin;ALUMB.PUBLICO;01/05/1990;-9;1990;5
Río Grande;COMERCIAL;01/06/1990;712701;1990;6
Río Grande;INDUSTRIAL;01/06/1990;1196527;1990;6
Río Grande;OFICIAL;01/06/1990;272592;1990;6
Río Grande;RESIDENCIAL;01/06/1990;1409111;1990;6
Río Grande;PROMOCIONAL;01/06/1990;14992;1990;6
Río Grande;ALUMB.PUBLICO;01/06/1990;-9;1990;6
Río Grande;LUZ DE OBRA;01/06/1990;25137;1990;6
Río Grande;JUB. Y PENS.;01/06/1990;35182;1990;6
